summary,aspect,explain,answer,score,mean_score,gt_score
"[""the custom-built boeing 747 is believed to have cost its ultra-wealthy owner # 400million after it was customised to fit his specifications exactly over a three-year period . the jumbo jet would normally carry as many as 600 passengers - but this version was built for just a single tycoon , although he will be able to fit dozens of guests . it contains a large dining room where travellers can enjoy meals cooked in an adjoining kitchen , with a lounge and ` state room ' at the back of the plane ."", ""the custom-built boeing 747 is believed to have cost its ultra-wealthy owner # 400million after it was customised to fit his specifications exactly over a three-year period . the jumbo jet would normally carry as many as 600 passengers - but this version was built for just a single tycoon , although he will be able to fit dozens of guests . it contains a large dining room where travellers can enjoy meals cooked in an adjoining kitchen , with a lounge and ` state room ' at the back of the plane ."", ""the custom-built boeing 747 is believed to have cost its ultra-wealthy owner # 400million after it was customised to fit his specifications exactly over a three-year period . the jumbo jet would normally carry as many as 600 passengers - but this version was built for just a single tycoon , although he will be able to fit dozens of guests . it contains a large dining room where travellers can enjoy meals cooked in an adjoining kitchen , with a lounge and ` state room ' at the back of the plane .""]","[""1. A mysterious billionaire's £400 million luxury home, complete with bedrooms, lounges, and an onboard restaurant, is a custom-built Boeing 747 jumbo jet that was customized to fit his specifications."", ""2. The jumbo jet has been converted into an exclusive residence, featuring a dining room, lounge, 'state room,' and a top deck for sleeping with eight full beds."", '3. The luxurious interior was built inside a Boeing 747-8, which can hold up to 600 passengers but was customized for a single ultra-wealthy owner.']","['A billionaire, who is mysterious, spent £400 million on a one-of-a-kind customized Boeing 747 Jumbo jet, which is now his luxurious private residence. The aircraft was designed to meet his exact preferences over a three-year period and is equipped with multiple bedrooms, lounges, an onboard restaurant, and other amenities.', ""The custom-built Boeing 747 has been transformed into an ultra-expensive, exclusive residence for its owner, featuring a dining room, lounge, 'state room,' and a top deck with eight full beds, designed to accommodate his friends and guests on a luxurious and personalized travel experience."", 'The Boeing 747, custom-built for a single ultra-wealthy owner, had a luxurious interior designed for their specific preferences, including a large dining room, kitchen and lounge areas, made possible by the removal of passenger seating to accommodate their needs.']","['Yes', 'Yes, the summary does contain the context of the given sentence, accurately representing the information about the custom-built Boeing 747 being converted into a personal residence and featuring various amenities and accommodations for its owner and guests.', 'Yes, the summary contains the context of the sentence as both mention the customized luxurious interior and the removal of passenger seating in the Boeing 747.']","[4, 4, 4]",4.0,4.583333333325
"[""Becky Schoenig's car was stolen on Monday night, April 1, and her car was found on April 2, but the rims were painted red and the steering wheel was painted orange 'She's a very special person. She's a very caring person. She's a caring person."", ""Becky Schoenig's car was stolen on Monday night, April 1, and her car was found on April 2, but the rims were painted red and the steering wheel was painted orange 'She's a very special person. She's a very caring person. She's a caring person."", ""Becky Schoenig's car was stolen on Monday night, April 1, and her car was found on April 2, but the rims were painted red and the steering wheel was painted orange 'She's a very special person. She's a very caring person. She's a caring person.""]","[""1. Becky Schoenig's car stolen, returned with red rims and detailing."", '2. Schoenig uses Facebook to express gratitude and thanks to car thieves.', '3. Schoenig honors Mick Sexton, the man who located her car, with a new smoothie at her restaurant.']","[""Becky Schoenig's car was stolen, but when it was returned, it had been modified with red rims and detailing, demonstrating the kindness and importance she holds in the hearts of those around her."", 'In a unique turn of events, Becky Schoenig uses Facebook to express her gratitude and thanks to the car thieves for returning her stolen vehicle with painted rims and orange steering wheel, showcasing her positive attitude and willingness to see the good in all situations.', 'Becky Schoenig, after recovering her stolen car, honors Mick Sexton by creating a new smoothie named after him at her restaurant.']","['Yes, the summary does contain the context of the mentioned sentence.', ""No, the summary does not contain the context of the given sentence. The summary focuses more on describing the altered condition of Becky Schoenig's stolen car and how she is regarded by others, with no mention of her use of Facebook to express gratitude and thanks. The context provided in the sentence showcases a unique and positive response from Schoenig in response to this situation."", 'Yes']","[4, 2, 4]",3.3333333333333335,2.666666666675
"[""tim durkan photographed aerial shots of the sunset warming the city 's skyline and shared them on cnn ireport . the fires were started in southeastern siberia , by farmers burning grass in their fields . the flames quickly grew out of control because of strong winds and spread throughout the region ."", ""tim durkan photographed aerial shots of the sunset warming the city 's skyline and shared them on cnn ireport . the fires were started in southeastern siberia , by farmers burning grass in their fields . the flames quickly grew out of control because of strong winds and spread throughout the region ."", ""tim durkan photographed aerial shots of the sunset warming the city 's skyline and shared them on cnn ireport . the fires were started in southeastern siberia , by farmers burning grass in their fields . the flames quickly grew out of control because of strong winds and spread throughout the region .""]","['1. Fiery sunsets in Washington result from Siberian wildfires, causing amber-colored haze that Seattle locals wondered about.', '2. Fires started by farmers burning grass in southeastern Siberia quickly grew out of control due to strong winds, destroying dozens of villages.', '3. Pacific Northwest sees the impact of smoke, wind, and sunlight as sunsets become intense due to smoke particles filtering sunlight and leaving red and orange colors unfiltered.']","['Siberian wildfires caused by farmers burning grass in their fields result in fiery sunsets in Washington, leaving locals in Seattle wondering about the amber-colored haze.', 'Fires started by farmers intentionally burning grass in southeastern Siberia became catastrophic due to high winds, resulting in the destruction of numerous villages in the region.', 'The Pacific Northwest experiences intense sunsets due to smoke particles filtering sunlight, letting red and orange colors shine through.']","['No, the summary does not contain the context of that sentence.', ""No, the summary does not contain the context of this sentence as the context is about the farmers burning grass and strong winds causing widespread fires and village destruction, while the summary mentions that Tim Durkan photographed the sunset's warming effect on the city's skyline and shared it on CNN iReport."", 'Yes, the summary contains the context of the given aspect.']","[1, 1, 4]",2.0,4.33333333335
"[""Filipe Luis wants to stay at Chelsea until the end of his contract, despite Atletico Madrid considering bringing him back in the summer Luis has made just four appearances in all competitions this season, with the Brazilian's future at Stamford Bridge uncertain. The former Porto man has been linked with a move to Atletico Madrid, but believes he has the right to stay. 'I don't think I'm a player for Atletico Madrid,' he said."", ""Filipe Luis wants to stay at Chelsea until the end of his contract, despite Atletico Madrid considering bringing him back in the summer Luis has made just four appearances in all competitions this season, with the Brazilian's future at Stamford Bridge uncertain. The former Porto man has been linked with a move to Atletico Madrid, but believes he has the right to stay. 'I don't think I'm a player for Atletico Madrid,' he said."", ""Filipe Luis wants to stay at Chelsea until the end of his contract, despite Atletico Madrid considering bringing him back in the summer Luis has made just four appearances in all competitions this season, with the Brazilian's future at Stamford Bridge uncertain. The former Porto man has been linked with a move to Atletico Madrid, but believes he has the right to stay. 'I don't think I'm a player for Atletico Madrid,' he said.""]","[""1. Filipe Luis wants to stay at Chelsea until the end of his contract, despite Atletico Madrid's potential interest."", '2. Filipe Luis expressed his happiness at Chelsea and hopes to stay until his contract ends.', '3. Chelsea manager Jose Mourinho encourages the team to focus on the upcoming matches and aim to win every game.']","['Filipe Luis, a Brazilian football player, aims to complete his current contract with Chelsea, disregarding any potential interest from his former team Atletico Madrid. He believes he should be considered a Chelsea player.', 'Filipe Luis is enjoying his time at Chelsea and desires to complete his contract, despite possible interest from his previous club Atletico Madrid.', 'Chelsea manager, Jose Mourinho urges the team to concentrate on upcoming games and aims to win every match to maintain strong competition.']","['Yes, the given summary does contain the core context of this sentence.', 'Yes, the summary contains the context of this sentence.', 'No']","[4, 4, 1]",3.0,3.58333333335
"[""the man who allegedly killed his neighbour was believed to be suffering from dementia and alcohol abuse at the time of the horrendous murder in 2012 , a jury has heard . luigi costa , 71 , is accused of stomping on his elderly neighbour terrence freebody 's head , cutting his throat and stabbing him multiple times in the dining room of his home on mugga way in red hill , canberra on july 2012 . forensic psychiatrist professor paul mullen examined costa after the attack and believes there was evidence of the accused 's state of mind declining in the lead-up to the incident and also during the event , the abc reported ."", ""the man who allegedly killed his neighbour was believed to be suffering from dementia and alcohol abuse at the time of the horrendous murder in 2012 , a jury has heard . luigi costa , 71 , is accused of stomping on his elderly neighbour terrence freebody 's head , cutting his throat and stabbing him multiple times in the dining room of his home on mugga way in red hill , canberra on july 2012 . forensic psychiatrist professor paul mullen examined costa after the attack and believes there was evidence of the accused 's state of mind declining in the lead-up to the incident and also during the event , the abc reported ."", ""the man who allegedly killed his neighbour was believed to be suffering from dementia and alcohol abuse at the time of the horrendous murder in 2012 , a jury has heard . luigi costa , 71 , is accused of stomping on his elderly neighbour terrence freebody 's head , cutting his throat and stabbing him multiple times in the dining room of his home on mugga way in red hill , canberra on july 2012 . forensic psychiatrist professor paul mullen examined costa after the attack and believes there was evidence of the accused 's state of mind declining in the lead-up to the incident and also during the event , the abc reported .""]","['1. Man accused of murder in 2012 believed to have been suffering from dementia and alcohol abuse at the time of the incident, according to a jury.', '2. Luigi Costa, 71, allegedly killed his elderly neighbour Terrence Freebody with brutal attacks in the dining room of his home in Red Hill, Canberra.', ""3. Forensic psychiatrist Professor Paul Mullen believes Costa's mental state was compromised by dementia and alcohol, which could impact his trial.""]","['The man accused of a murder in 2012, Luigi Costa, was believed to have had dementia and alcohol abuse, causing his mental state to decline before and during the incident, according to a jury.', ""Luigi Costa committed a brutal murder by stomping on his elderly neighbor's head, cutting his throat and stabbing him multiple times in the dining room of his home in Red Hill, Canberra in 2012. The accused was suffering from dementia and alcohol abuse at the time of the incident, according to forensic psychiatrist Professor Paul Mullen."", 'Forensic psychiatrist Professor Paul Mullen believes that Lucy Costa may have been suffering from dementia and alcohol issues, which could affect his trial and the outcome.']","[""Yes, the summary contains the context of the sentence, as it presents the essential information about Luigi Costa's alleged dementia and alcohol abuse and how this affected his mental state before and during the murder."", 'Yes, the summary contains the context of the sentence.', 'Yes, the summary contains the context of the provided sentence.']","[4, 4, 4]",4.0,4.833333333325
"[""there would have been no mercy in the dressing room . nothing is sacred in the team . when ben stokes first turned up at the kensington oval this week someone would have said : ` mind that locker , stokesey . '"", ""there would have been no mercy in the dressing room . nothing is sacred in the team . when ben stokes first turned up at the kensington oval this week someone would have said : ` mind that locker , stokesey . '"", ""there would have been no mercy in the dressing room . nothing is sacred in the team . when ben stokes first turned up at the kensington oval this week someone would have said : ` mind that locker , stokesey . '""]","['1. Ben Stokes, a fiery cricketer, aims to channel his aggression in the right way after his re-entry in the England team.', ""2. Stokes' character is vital in a game that sometimes produces robots and he will need careful management."", '3. England wants Stokes and Adil Rashid to play their full potential and grow in the international game.']","['Ben Stokes, a powerful and passionate cricketer, learns to manage his aggressive temperament effectively as he reintegrates into the England team for better performance and team functioning.', ""The aspect highlights that it is essential to manage Stokes' character as he brings an essential element of human nature to the game, avoiding it from becoming too robotic."", 'In the context of this aspect, England wants Ben Stokes and Adil Rashid to reach their full potential and flourish in international cricket, emphasizing their key role in the team.']","['Yes', 'Yes, the summary does contain the context of the sentence.\n\nIn the given aspect, it is implied that Ben Stokes\' character and attitude toward the game are crucial for maintaining the human element within the team. This is further reinforced by the fact that ""nothing is sacred in the team,"" indicating that everyone must be on the same level and treat each other equally.\n\nIn this context, the aspect suggests that it is important to manage his character effectively, so that it doesn\'t become overly robotic and loses its authenticity. The sentiment expressed in this aspect is in line with the overall theme of teamwork and camaraderie among cricketers, which is often considered as a crucial factor in success in games like cricket.\n\nAs Stokes is a renowned cricketer with a strong character, the management and his other teammates must play a significant role in maintaining a balanced and harmonious setup within the team, allowing his human aspects to shine through in the most positive manner possible. This is to make sure that his contributions to the team are not overshadowed by unnecessary controversies or off-field issues and that the team\'s collective performance is not negatively impacted by any individual\'s conduct.', ""No, the summary does not contain the context of this sentence, which focuses on England's expectations for Stokes and Rashid's development instead of the dressing room atmosphere.""]","[3, 4, 1]",2.6666666666666665,3.66666666665
"[""the letters were expected to bring in anywhere from $ 300,000 to $ 600,000 , but received no bids at a sotheby 's auction wednesday . the 68-year-old yankee said he wanted ' a new generation to own and enjoy this icon of the yankees and of new york city '"", ""the letters were expected to bring in anywhere from $ 300,000 to $ 600,000 , but received no bids at a sotheby 's auction wednesday . the 68-year-old yankee said he wanted ' a new generation to own and enjoy this icon of the yankees and of new york city '"", ""the letters were expected to bring in anywhere from $ 300,000 to $ 600,000 , but received no bids at a sotheby 's auction wednesday . the 68-year-old yankee said he wanted ' a new generation to own and enjoy this icon of the yankees and of new york city '""]","[""1. Glowing blue letters from above Yankee Stadium did not find a buyer at Sotheby's auction, selling for $260,000 to a Sotheby's employee."", '2. Yankee Hall of Famer Reggie Jackson purchased the letters for an undisclosed amount, hoping a new generation will enjoy the icon of the Yankees and New York City.', ""3. In addition to the letters, Sotheby's auctioned a New York Mets bullpen car from the late 60s, which fetched a winning bid of $112,500.""]","[""The historic glowing blue letters from above Yankee Stadium failed to find a buyer at the Sotheby's auction, but were eventually sold to a Sotheby's employee for $260,000, falling short of the anticipated price range of $300,000 to $600,000. The 68-year-old Yankee, however, expressed his desire for a new generation to enjoy and cherish this icon of the Yankees and New York City."", 'Reggie Jackson, a Hall of Famer Yankee, purchased letters for an undisclosed amount, wanting a new generation to appreciate the icon of the Yankees and New York City.', 'In addition to the letters, an auction of a vintage New York Mets bullpen car from the late 60s took place, which received a winning bid of $112,500.']","[""Yes, the context of the provided sentence can be found in the summary. The summary mentions that the letters did not receive any bids at the Sotheby's auction, and although it does not mention the details about Sotheby's employee buying them later, it conveys the general idea."", 'Yes', 'No']","[4, 4, 1]",3.0,3.66666666665
"['serena williams beat sara errani 4-6 7-6(3) 6-3 in the fed cup play-off . the world no 1 eventually won the match to take her career record to 8-0 . williams and alison riske were thrashed 6-0 6-3 in the doubles rubber .', 'serena williams beat sara errani 4-6 7-6(3) 6-3 in the fed cup play-off . the world no 1 eventually won the match to take her career record to 8-0 . williams and alison riske were thrashed 6-0 6-3 in the doubles rubber .', 'serena williams beat sara errani 4-6 7-6(3) 6-3 in the fed cup play-off . the world no 1 eventually won the match to take her career record to 8-0 . williams and alison riske were thrashed 6-0 6-3 in the doubles rubber .']","['1. Serena Williams defeated Sara Errani in the Fed Cup, improving her career record to 8-0.', '2. The US team was relegated to World Group II after losing 3-2 to Italy.', '3. Williams said the match was an eye-opener, revealing her need to adapt to clay court season and work harder to return to the elite nations next year.']","['Serena Williams won her Fed Cup match against Sara Errani with a score of 4-6, 7-6(3), 6-3. This victory expanded her career record to an impressive 8-0.', 'The US team was demoted to World Group II due to their loss against Italy.', 'Serena Williams lost to Sara Errani but still gained experience playing on clay, realizing the need to work harder and improve to compete at the highest level again next year.']","[""No, the summary does not contain the context of the sentence in question. The summary provides the match's score and details about doubles matches without specifying Serena Williams' career record."", 'No', 'yes']","[1, 1, 4]",2.0,4.083333333325
"[""jamie carragher believes brendan rodgers is still the right man to lead liverpool forward after a season with no trophies and a likely finish outside the top four . brendan rodgers is under pressure at liverpool after a third straight season without a trophy . rodgers ' future at anfield has been questioned after a third straight season without a trophy , but the former liverpool defender backed the reds manager ."", ""jamie carragher believes brendan rodgers is still the right man to lead liverpool forward after a season with no trophies and a likely finish outside the top four . brendan rodgers is under pressure at liverpool after a third straight season without a trophy . rodgers ' future at anfield has been questioned after a third straight season without a trophy , but the former liverpool defender backed the reds manager ."", ""jamie carragher believes brendan rodgers is still the right man to lead liverpool forward after a season with no trophies and a likely finish outside the top four . brendan rodgers is under pressure at liverpool after a third straight season without a trophy . rodgers ' future at anfield has been questioned after a third straight season without a trophy , but the former liverpool defender backed the reds manager .""]","['1. Carragher supports Rodgers, saying he still has a chance to lead Liverpool forward.', ""2. Carragher believes that Rodgers' future should not be determined by one game, as the players still need time to adapt."", '3. Carragher urges Rodgers to identify areas of improvement in the team, pointing out the importance of making the right signings.']","[""Carragher believes in Rodgers' ability, despite the recent lack of success, and believes he can still lead Liverpool to future achievements."", ""Carragher believes that one loss should not affect the decision on Rodgers' future, as the team needs time to adapt to new changes."", ""Under pressure, Carragher supports Rodgers' leadership and urges him to analyze the team's areas of improvement, emphasizing the significance of making vital signings.""]","['Yes, the summary contains the context of that sentence.', ""No, the summary does not enclose the context you mentioned, as it focuses more on the current season without a trophy and Rodgers' future being questioned."", 'Yes']","[4, 2, 4]",3.3333333333333335,4.16666666665
"[""chelsea have made an offer for fc tokyo 's yoshinori muto . japan international will join chelsea 's vitesse arnhem on loan next season . muto claims chelsea 's interest in muto is not connected to the # 200million deal they signed with yokohama rubber in february ."", ""chelsea have made an offer for fc tokyo 's yoshinori muto . japan international will join chelsea 's vitesse arnhem on loan next season . muto claims chelsea 's interest in muto is not connected to the # 200million deal they signed with yokohama rubber in february ."", ""chelsea have made an offer for fc tokyo 's yoshinori muto . japan international will join chelsea 's vitesse arnhem on loan next season . muto claims chelsea 's interest in muto is not connected to the # 200million deal they signed with yokohama rubber in february .""]","[""1. Chelsea offers FC Tokyo's 22-year-old forward, Yoshinori Muto, according to club president Naoki Ogane."", ""2. Muto will join Chelsea's Dutch partner club Vitesse Arnhem on loan next season if he completes the move to Stamford Bridge this summer."", '3. Muto is the first Japanese player to represent Chelsea if he moves to west London.']","['Chelsea offers 22-year-old forward Yoshinori Muto from FC Tokyo, as stated by club president Naoki Ogane.', 'Yoshinori Muto, from FC Tokyo, has received an offer from Chelsea who will loan him to Vitesse Arnhem for next season if he completes the move to Stamford Bridge this summer. This transfer is unrelated to the previous 200 million deal signed with Yokohama Rubber in February.', 'Yoshinori Muto would be the first Japanese player to officially sign with Chelsea if his move to the club takes place, making a historic milestone in their roster.']","['Yes', ""No, the context of the sentence is not included in the summary, as it focuses more on the transfer details rather than the context of Chelsea's interest in Muto independent of the previous deal."", 'Yes']","[4, 2, 4]",3.3333333333333335,4.0
